,Delta_ratio,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
254,0.75,FINDER_1D,4.308841228485107,0.36,"{'sigma': 5.95810403231481, 'threshold': 10.0}",9,0.96
255,0.75,FINDER_1D_loop,3.907634973526001,0.04,"{'sigma': 7.757044442868975, 'threshold': 10.0}",9,0.88
256,0.75,dbscan,0.02192974090576172,0.04,[],9,0.36
257,0.75,OPTICS,59.29504203796387,0.24,[],9,0.36
258,0.75,CAML_87B144,23.893970012664795,0.28,[],10,0.8
259,0.75,CAML_07VEJJ,18.13172173500061,1.48,[],10,0.2
260,0.75,FINDER_1D,4.340111255645752,0.72,"{'sigma': 6.53007282475246, 'threshold': 10.0}",10,0.84
261,0.75,FINDER_1D_loop,3.4881105422973633,0.12,"{'sigma': 8.802812682589607, 'threshold': 10.0}",10,0.72
262,0.75,dbscan,0.019961833953857422,0.0,[],10,0.12
263,0.75,OPTICS,51.559131145477295,0.24,[],10,0.32
